scale,class_code,class_name,item_idx,subclass,source_id,eval_mode,prompt_preview,gold,search_status,best_path_json,n_paths_evaluated,n_apply_failures,mean_search_reward,best_search_reward,mean_terminal_entropy_nats,best_terminal_entropy_nats,argmax_token_str,argmax_token_id,next_token_entropy_nats,top5_json,gold_first_token_rank,gold_first_token_prob,wallclock_sec
1B,C1,factual_recall,0,capital,C1_0_capital,first_token_str,Q: What is the capital of France? A:,Paris,ok,"[0.1,0.1,0.1]",27,0,-0.18486557400709974,-0.17178559218078948,2.1743488664980286,2.020504951477051,Paris,60704,2.020504951477051,"[[""Paris"",0.3483574092388153],[""R"",0.28432103991508484],[""The"",0.20801372826099396],[""France"",0.014378426596522331],[""A"",0.012013626284897327]]",0,0.3483574092388153,3.1744189262390137
1B,C1,factual_recall,1,capital,C1_1_capital,first_token_str,Q: What is the capital of Japan? A:,Tokyo,ok,"[0.1,0.1,0.1]",27,0,-0.09208598888602439,-0.04721159883640014,1.0830954688566703,0.5552926063537598,Tok,53954,0.5552926063537598,"[[""Tok"",0.9074926376342773],[""T"",0.03203841298818588],[""The"",0.016883056610822678],[""Ky"",0.010401349514722824],[""K"",0.007204804103821516]]",0,0.9074926376342773,2.680100202560425
1B,C1,factual_recall,2,capital,C1_2_capital,first_token_str,Q: What is the capital of Germany? A:,Berlin,ok,"[0.1,0.1,0.1]",27,0,-0.10840432843208005,-0.10118608276055141,1.275028246420401,1.1901288032531738,B,33,1.1901288032531738,"[[""B"",0.4591517150402069],[""Berlin"",0.44502508640289307],[""A"",0.039498221129179],[""The"",0.01808360405266285],[""Ber"",0.005345502868294716]]",1,0.44502508640289307,2.7887234687805176
1B,C1,factual_recall,3,capital,C1_3_capital,first_token_str,Q: What is the capital of Italy? A:,Rome,ok,"[1.0,1.0,0.1]",27,0,-0.053509812934557754,-0.052461992029469884,0.6293708372999121,0.617046594619751,R,49,0.617046594619751,"[[""R"",0.892738401889801],[""V"",0.0300742257386446],[""B"",0.020669693127274513],[""A"",0.015360415913164616],[""The"",0.011237921193242073]]",0,0.892738401889801,2.6860949993133545
1B,C1,factual_recall,4,capital,C1_4_capital,first_token_str,Q: What is the capital of Spain? A:,Madrid,ok,"[0.1,0.1,0.1]",27,0,-0.07395270917981446,-0.03754450227997928,0.8698157579810532,0.4415903091430664,Mad,38136,0.4415903091430664,"[[""Mad"",0.932193398475647],[""M"",0.014154612086713314],[""The"",0.011023622937500477],["" Madrid"",0.010684462264180183],[""Spain"",0.0067914570681750774]]",0,0.932193398475647,2.6664211750030518
1B,C1,factual_recall,5,capital,C1_5_capital,first_token_str,Q: What is the capital of Russia? A:,Moscow,ok,"[0.1,0.1,0.1]",27,0,-0.13232516097656072,-0.11817847260170704,1.5563799010382757,1.3899896144866943,Mos,77406,1.3899896144866943,"[[""Mos"",0.5624737739562988],[""M"",0.27844470739364624],[""St"",0.04876593127846718],[""The"",0.045811351388692856],[""Russia"",0.010966491885483265]]",0,0.5624737739562988,2.6857893466949463
1B,C1,factual_recall,6,capital,C1_6_capital,first_token_str,Q: What is the capital of China? A:,Beijing,ok,"[0.1,0.1,0.5]",27,0,-0.10984775646653591,-0.06733166846720574,1.2920055345252708,0.7919405102729797,Be,3513,0.7919405102729797,"[[""Be"",0.7926579117774963],[""P"",0.1421157270669937],[""The"",0.030734676867723465],[""Q"",0.006342459004372358],[""Gu"",0.005641099996864796]]",0,0.7926579117774963,2.6718480587005615
1B,C1,factual_recall,7,capital,C1_7_capital,first_token_str,Q: What is the capital of Egypt? A:,Cairo,ok,"[1.0,0.5,1.0]",27,0,-0.11574528076645152,-0.08982888318593246,1.3613709387955841,1.0565478801727295,C,34,1.0565478801727295,"[[""C"",0.7868175506591797],[""The"",0.08164424449205399],[""G"",0.03856600821018219],[""Egypt"",0.03403438255190849],[""A"",0.00827557872980833]]",0,0.7868175506591797,2.6268150806427
1B,C1,factual_recall,8,capital,C1_8_capital,first_token_str,Q: What is the capital of Australia? A:,Canberra,ok,"[1.0,0.1,1.0]",27,0,-0.23770841934938738,-0.22482708053519607,2.795874975345753,2.6443674564361572,C,34,2.6443674564361572,"[[""C"",0.24875888228416443],[""B"",0.20947596430778503],[""A"",0.10533114522695541],[""Sy"",0.08732258528470993],[""Victoria"",0.05816938355565071]]",11,0.013391352258622646,2.7131214141845703
1B,C1,factual_recall,9,capital,C1_9_capital,first_token_str,Q: What is the capital of Canada? A:,Ottawa,ok,"[0.1,1.0,1.0]",27,0,-0.09160827262990867,-0.06905650011555277,1.0774766736560397,0.8122276067733765,O,46,0.8122276067733765,"[[""O"",0.8404171466827393],[""V"",0.06183832511305809],[""Victoria"",0.0375068373978138],[""Toronto"",0.011619079858064651],[""Mont"",0.006724607199430466]]",0,0.8404171466827393,2.6531569957733154
1B,C1,factual_recall,10,capital,C1_10_capital,first_token_str,Q: What is the capital of Mexico? A:,Mexico,ok,"[0.5,0.1,0.5]",27,0,-0.1564026489584507,-0.1391640822651331,1.839574103002195,1.6368178129196167,Mexico,69931,1.6368178129196167,"[[""Mexico"",0.6600252985954285],[""A"",0.06433817744255066],[""Gu"",0.053338222205638885],[""The"",0.05251128971576691],[""T"",0.040261805057525635]]",0,0.6600252985954285,2.690451145172119
1B,C1,factual_recall,11,capital,C1_11_capital,first_token_str,Q: What is the capital of Argentina? A:,Buenos,ok,"[1.0,1.0,0.1]",27,0,-0.09716604566617155,-0.09292136812130193,1.1428459971039384,1.0929210186004639,B,33,1.0929210186004639,"[[""B"",0.7857593297958374],[""A"",0.060591258108615875],[""Argentina"",0.03675045818090439],["" Buenos"",0.020295528694987297],[""E"",0.018192796036601067]]",0,0.7857593297958374,2.7132108211517334
1B,C1,factual_recall,12,capital,C1_12_capital,first_token_str,Q: What is the capital of South Korea? A:,Seoul,ok,"[0.1,0.1,0.1]",27,0,-0.09518517795173029,-0.05776800778849829,1.1195474598142836,0.6794548034667969,Se,1542,0.6794548034667969,"[[""Se"",0.8856607675552368],[""South"",0.03328423947095871],[""Py"",0.024351270869374275],["" Seoul"",0.01500238198786974],[""The"",0.00790569931268692]]",0,0.8856607675552368,2.731339454650879
1B,C1,factual_recall,13,capital,C1_13_capital,first_token_str,Q: What is the capital of Thailand? A:,Bangkok,ok,"[0.1,0.1,0.1]",27,0,-0.06271556794980301,-0.028056420587123456,0.7376469351627208,0.3299935460090637,Bang,63919,0.3299935460090637,"[[""Bang"",0.9461745023727417],[""Th"",0.02812902443110943],[""B"",0.005004009231925011],[""The"",0.0035483737010508776],["" Bangkok"",0.003256170777603984]]",0,0.9461745023727417,2.7862510681152344
1B,C1,factual_recall,14,capital,C1_14_capital,first_token_str,Q: What is the capital of the Netherlands? A:,Amsterdam,ok,"[0.1,0.1,0.5]",27,0,-0.19189786907418807,-0.16808067117205663,2.2570611989056624,1.976928472518921,The,791,1.976928472518921,"[[""The"",0.4455436170101166],[""Am"",0.2702358663082123],[""Rot"",0.054474491626024246],[""M"",0.045160938054323196],[""Ant"",0.04048200696706772]]",1,0.2702358663082123,2.6562340259552
1B,C1,factual_recall,15,capital,C1_15_capital,first_token_str,Q: What is the capital of Sweden? A:,Stockholm,ok,"[0.1,0.5,0.1]",27,0,-0.1288174953813137,-0.07856022058743085,1.5151234975567571,0.924008309841156,Stock,19931,0.924008309841156,"[[""Stock"",0.798431396484375],[""St"",0.11683632433414459],[""The"",0.014063553884625435],[""Sweden"",0.012905441224575043],["" Stockholm"",0.010209044441580772]]",0,0.798431396484375,2.772808790206909
